"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"469",12,"12_3736e1b9",4,4,"Left_lead",1,0,1.16138271478535,0.161382714785348,"1",0.23119880716665,"Female",1,63,"3736e1b9"
"481",12,"12_3736e1b9",4,4,"Left_lead",1,0,1.05544705699668,0.0554470569966827,"0",0.202904002002524,"Female",0,74,"3736e1b9"
"485",12,"12_3736e1b9",1,1,"Left_lead",1,0,1.01072219650157,0.0107221965015694,"1",0.198478854066137,"Female",0,78,"3736e1b9"
"486",12,"12_3736e1b9",-4,4,"Left_lead",1,0,1.00087346578372,0.000873465783721938,"1",0.170238283014314,"Female",1,79,"3736e1b9"
"488",12,"12_3736e1b9",1,1,"Left_lead",1,0,1.06008642534392,0.0600864253439157,"1",0.18524996166605,"Female",0,80,"3736e1b9"
"493",12,"12_3736e1b9",-4,4,"Left_lead",1,0,0.416007889583693,-0.583992110416307,"1",0.0726337464124,"Female",1,85,"3736e1b9"
"494",12,"12_3736e1b9",1,1,"Left_lead",1,0,0.681659743682881,-0.318340256317119,"1",0.113306188164715,"Female",0,86,"3736e1b9"
"497",12,"12_3736e1b9",-1,1,"Left_lead",1,0,0.442791879246587,-0.557208120753413,"1",0.0810476289801,"Female",1,89,"3736e1b9"
"501",12,"12_3736e1b9",2,2,"Left_lead",1,0,0.953046012544912,-0.0469539874550882,"1",0.2050980383173,"Female",1,92,"3736e1b9"
"502",12,"12_3736e1b9",-2,2,"Left_lead",1,0,0.968820083626436,-0.0311799163735637,"1",0.201434630805945,"Female",0,93,"3736e1b9"
"503",12,"12_3736e1b9",3,3,"Left_lead",1,0,1.05158756501414,0.0515875650141433,"1",0.21508363510401,"Female",0,94,"3736e1b9"
"508",12,"12_3736e1b9",-1,1,"Left_lead",1,0,1.11897029182668,0.118970291826682,"1",0.272514979602816,"Female",1,99,"3736e1b9"
"510",13,"13_9bf9f38d",-3,3,"Left_lead",1,0,1.07076620797595,0.0707662079759506,"1",0.10567832068655,"Female",1,10,"9bf9f38d"
"514",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.4935378328622,0.493537832862197,"0",0.301151976021985,"Female",0,103,"9bf9f38d"
"515",13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.27960767196459,0.279607671964585,"1",0.271134645234737,"Female",0,104,"9bf9f38d"
"519",13,"13_9bf9f38d",4,4,"Left_lead",1,0,1.30956152969479,0.309561529694794,"1",0.28243340152595,"Female",0,108,"9bf9f38d"
"521",13,"13_9bf9f38d",2,2,"Left_lead",1,0,1.20016638821436,0.200166388214357,"0",0.1325362381497,"Female",1,11,"9bf9f38d"
"525",13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.902365466429183,-0.0976345335708166,"0",0.165761041927555,"Female",1,113,"9bf9f38d"
"526",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.868643934903854,-0.131356065096146,"0",0.1468300428763,"Female",0,114,"9bf9f38d"
"536",13,"13_9bf9f38d",-2,2,"Left_lead",1,0,1.0781734612062,0.0781734612061997,"1",0.2447299654174,"Female",0,123,"9bf9f38d"
"539",13,"13_9bf9f38d",3,3,"Left_lead",1,0,0.981367458134254,-0.0186325418657456,"0",0.184396513903545,"Female",0,126,"9bf9f38d"
"542",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.03680095093977,0.0368009509397698,"1",0.157770188051715,"Female",1,14,"9bf9f38d"
"549",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.66211332030877,-0.33788667969123,"1",0.13070755921155,"Female",1,20,"9bf9f38d"
"551",13,"13_9bf9f38d",-2,2,"Left_lead",1,0,0.787512643470853,-0.212487356529147,"1",0.126239918148845,"Female",1,22,"9bf9f38d"
"556",13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.12238396423304,0.122383964233044,"1",0.17622160891242,"Female",0,27,"9bf9f38d"
"561",13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.04171193464252,0.0417119346425205,"0",0.141589416038055,"Female",0,31,"9bf9f38d"
"563",13,"13_9bf9f38d",1,1,"Left_lead",1,0,1.0099880879986,0.00998808799859985,"1",0.1533701621699,"Female",1,33,"9bf9f38d"
"571",13,"13_9bf9f38d",3,3,"Left_lead",1,0,1.08008652343675,0.0800865234367483,"1",0.192970579055395,"Female",1,40,"9bf9f38d"
"572",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.10860394839844,0.10860394839844,"0",0.194718061432974,"Female",0,41,"9bf9f38d"
"574",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.20454985178385,0.204549851783851,"0",0.195812948901075,"Female",0,43,"9bf9f38d"
"575",13,"13_9bf9f38d",4,4,"Left_lead",1,0,1.2375516891833,0.237551689183302,"1",0.178268558246489,"Female",0,44,"9bf9f38d"
